time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
156,266,41765,89.46,592,84.58659956,31760,-74.59068298339844,0.9915547668933868,0.03035140372812748,15.331513977050781,0.0003,,
156,267,41975,89.92,596,87.94424115,31970,-75.43957061767578,-2.8528841972351073,0.03010466732084751,14.294750785827636,0.0003,,
155,271,42330,89.43,600,91.58129518999998,32325,-73.67377166748047,-0.0896565318107605,0.029772261530160903,14.322791862487794,0.0003,,
155,274,42645,89.57,604,96.66828603,32640,-72.88240966796874,0.8656528115272522,0.02924451492726803,13.536916351318359,0.0003,,
154,277,43010,89.01,608,98.67064628999998,33005,-73.54381103515625,0.6583045572042465,0.029804682359099388,14.322698211669922,0.0003,,
154,280,43330,89.05,612,101.62841069,33325,-73.05506439208985,-0.365925008058548,0.029397338256239892,14.459828758239746,0.0003,,
153,284,43705,88.62,616,102.13326500000001,33700,-73.26739654541015,0.29606062173843384,0.02888927385210991,14.23203125,0.0003,,
153,287,44010,86.87,620,101.81461851,34005,-72.91553344726563,-0.36237279772758485,0.028592250868678094,14.150265884399413,0.0003,,
152,291,44430,86.11,624,102.42912778,34425,-73.02993927001953,0.23806697726249695,0.028478608652949332,14.240700340270996,0.0003,,
152,294,44775,85.81,628,101.73892492,34770,-71.86163177490235,0.4974476099014282,0.02817017547786236,13.822422790527344,0.0003,,
151,298,45130,85.7,632,104.29955147000001,35125,-71.7124755859375,-0.5303662061691284,0.027953558415174485,13.752606201171876,0.0003,,
151,300,45440,83.61,636,100.71633213000001,35435,-70.54670715332031,0.09657253921031952,0.02724975347518921,13.705683708190918,0.0003,,
150,304,45820,84.22,640,101.78733297,35815,-70.82799987792968,1.1757959723472595,0.026734659820795058,13.483855438232421,0.0003,,
150,308,46360,84.54,644,103.46363310999999,36355,-71.73162536621093,0.7523420929908753,0.026277509331703187,13.318340492248534,0.0003,,
149,313,46910,87.0,648,103.33921865999999,36905,-72.21044311523437,-1.5331361770629883,0.025846786424517633,13.463162422180176,0.0003,,
149,317,47385,89.33,652,105.04337534000004,37380,-69.73679046630859,1.0491212487220765,0.025412042438983918,13.656294822692871,0.0003,,
