#{"t_start": 1783133905.572226, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
-37.184995,54,3.864123,54.0,-51.80409760201424,14.052244413573199,16.917329941072836,0.15,-2.38,-4.4505483913421635,-21.32379059791564,-8.523458954286733,-2.4896818196155266,-6.686316434962861,-22.491600285328953,-2.155075765256355,-0.4899416190861924,-0.5291369486130878,0.0
-32.583901,57,4.895912,57.0,-48.59061509816234,15.883886313107588,18.74150173854929,0.3,-3.01,-4.503863158226014,-22.865848624706263,-8.474857030454663,-2.429115944305988,-6.721265094448599,-25.633521627708753,-2.2802020141872856,-0.3396552557179494,-0.3872069915184624,0.0
-42.928759,68,7.742753,68.0,-61.35717789950733,18.76676620709571,21.864922381136516,0.15,-4.24,-5.7564978885650655,-28.91887197494507,-10.74748082631023,-3.164514565786902,-7.877312763389351,-27.034466611883264,-2.6141248049092805,-0.3143480431342663,-0.4275133386626022,0.0
-13.804339,55,10.079651,55.0,-37.39649319192376,15.139586086629656,17.027419902880528,0.6,-2.8399999999999994,-4.741463108062746,-24.296921122074128,-8.929068575464619,-2.1233581882180337,-5.242152721349941,-13.858727217128703,-2.1431608887367535,-0.34864468842232144,-0.3835091572645536,0.0
-23.565659,55,12.396782,55.0,-32.01461871044617,16.4201117631726,18.633022284561967,0.6,-3.1999999999999997,-5.2400324392318725,-23.445203304290768,-9.1205000837911,-3.06348635333663,-5.17816486176042,-30.17909871050786,-2.7776889449311075,-0.16744249556072027,-0.1841867451167923,0.0
-26.057966,51,14.478333,51.0,-40.62790492584497,13.931566788535656,16.424357567490077,0.15,-2.8,-5.075141820907593,-21.388110947608943,-7.999777883206337,-2.8155933155934285,-6.005930550814805,-18.060030035529795,-2.791401174125225,-0.31496879024625785,-0.321268166051183,0.0
72.627847,68,17.195776,68.0,51.6756770326299,22.10133846531707,21.423105060759774,4.35,-3.3499999999999996,-6.978237442970275,-29.83216760158539,-11.765658429380489,-3.7209383945978916,-4.910243645189786,-30.52932673352721,-3.835700886466693,0.10479893045528181,0.14252654541918328,0.0
3.294203,75,20.338084,75.0,-23.464857131611314,23.129824974811463,23.815618830547695,1.7999999999999996,-4.01,-7.533902387619018,-30.060298657417295,-12.71569092010037,-4.180612557024163,-4.3508241594854855,-29.579993616273686,-4.5550610230123,0.14152073548432884,0.21228110322649327,0.0
82.168702,59,22.662475,59.0,45.4826909012732,18.0764299418821,19.89069722441396,3.149999999999999,-2.9899999999999998,-5.909324159622192,-22.917477440834045,-9.826999158337754,-2.6558303381289967,-2.8719677062585145,-13.248873941226181,-3.0106433645758717,0.505539371804111,0.596536458728851,0.0
63.933197,43,24.442625,43.0,60.39474411895431,13.043537794528486,13.80178994004968,2.5499999999999994,-2.4299999999999997,-4.554507212638856,-16.735957908630375,-7.1395015370379,-1.8714427741224506,-8.668710144908719,-24.94551370854143,-2.5112414132480025,0.6470067277117335,0.5564257858320908,0.0
85.515139,56,26.771316,56.0,58.47620169706376,16.489968364452505,19.02064994985061,3.149999999999999,-2.6599999999999997,-6.129864487648012,-25.401155531406406,-9.194717218920802,-1.8337253384101806,-6.373456909445637,-13.748941418015932,-2.2798204839553353,0.447378283173525,0.5010636771543481,0.0
111.323529,100,30.788721,100.0,43.52759154350803,34.057124602929214,36.18083367926539,3.7499999999999987,-4.5200000000000005,-10.921468861103051,-41.52155568599703,-16.24193426618012,-4.753030474908009,-5.59537812704457,-17.077382337753864,-5.561270742249969,0.12637170917522084,0.2527434183504417,0.0
93.61557,86,34.187391,86.0,36.872725563466474,30.184339814563597,31.33799870565076,4.35,-2.9999999999999996,-9.327248311042785,-37.67870987653733,-14.189969061060042,-3.5236769470174876,-4.090268554467057,-19.601591096581657,-3.7180302879936957,0.17557598284866352,0.30199069049970123,0.0
-13.138644,59,36.568034,59.0,-34.84849705280914,18.767983907268093,19.964238020041225,0.0,-2.05,-7.210563817024232,-25.69416853189468,-9.78831824587946,-2.665932864732729,-2.951247871722459,-22.830440016254663,-2.8316977925681877,-0.2236113395749212,-0.263861380698407,0.0
97.601077,63,39.174087,63.0,62.742616233451834,20.859578585939147,20.675671121614368,2.2499999999999996,-2.8799999999999994,-7.018516492843631,-25.63410216867925,-10.199440987499898,-3.744474004203717,-8.413784835179271,-11.547263015336151,-2.4892070456936817,0.4299756388643478,0.5417693049690783,0.0
94.610051,54,41.291428,54.0,74.2623821358329,18.818935095311833,17.540163024992765,2.3999999999999995,-3.1399999999999992,-6.5935531425476075,-21.887858569622047,-8.759068605599294,-2.9826167594477493,-10.024488683951374,-16.705099388916437,-2.3187438284611095,0.6728734109862536,0.7267032838651539,0.0
83.874225,51,43.412147,51.0,62.82834301579913,17.66707432248202,16.518886206330347,2.6999999999999993,-2.8599999999999994,-6.105184292793275,-22.828804028034213,-8.428275944546854,-3.2973132460746486,-7.650664303376271,-13.509865890338098,-2.1599712028118874,0.5208825285742182,0.5313001791457026,0.0
104.794381,77,46.461847,77.0,59.85945488065179,25.959193087959218,26.1691821784076,3.449999999999999,-3.3399999999999994,-9.004133429527284,-30.294325947761532,-12.346031107520558,-4.024602053792268,-9.338542750244013,-15.834562338087643,-3.4612518215588635,0.3819238038596218,0.5881626579438176,0.0
85.618869,58,48.689333,58.0,72.543176925021,18.07740809476438,19.23701651467324,4.049999999999999,-1.9699999999999998,-7.239266133308411,-24.659201276302337,-9.426449710258213,-3.072478704265405,-8.96349791077358,-28.27382441533848,-2.684014819691556,0.5421948103831404,0.6289459800444428,0.0
95.412383,53,50.920197,53.0,67.6223110792908,17.314322527006475,17.338483467131216,3.5999999999999988,-1.2400000000000002,-6.186130876541138,-23.144072252511975,-8.763604846659097,-2.332641274225524,-9.084972845032816,-10.064551650428697,-2.6467600163444946,0.5338268776638369,0.5658564903236671,0.0
122.984962,82,54.339605,82.0,79.13594926316122,29.51267463913777,29.78730172452068,5.250000000000002,-3.8499999999999996,-9.665205397605897,-39.22806319594382,-13.472187536279764,-3.42919131381011,-10.423909206479506,-19.47855921227737,-3.153847582930396,0.3777445351343511,0.6195010376203358,0.0
36.895395,63,56.893455,63.0,-0.22906772991425423,19.22707686483439,21.924559765179758,0.75,-2.6999999999999997,-7.882926206588743,-23.316824600100517,-10.350478319544624,-2.6918313361651838,-1.116986138571694,-17.140144014379818,-2.5779836582416578,0.07235433924822149,0.09116646745275908,0.0
93.417401,57,59.159906,57.0,58.96092235052801,21.03717142383687,19.372035216301096,2.6999999999999993,-2.7399999999999998,-6.665726847648622,-27.751462626457222,-9.86184981965288,-4.072836013344935,-5.421126589322534,-6.562756559149303,-2.5769696871018573,0.4912109136240895,0.5599804415314621,0.0
67.809099,58,61.67267,58.0,54.155462061394836,16.932872497746967,20.30239729336492,2.6999999999999993,-3.6599999999999997,-7.010215516090394,-27.548005276918417,-9.915150666389275,-1.960270766733544,-7.2246990706878655,-24.197160300604843,-2.7661312738338797,0.2376961070877924,0.2757274842218392,0.0
114.019027,67,64.424168,67.0,82.24644670523446,24.841979982257094,23.018683749852578,2.999999999999999,-3.27,-8.418623805046082,-37.139780253171914,-11.394558104605416,-3.0063844535947943,-10.247005023061122,-9.627545539232,-2.9841862624151343,0.5193054366957468,0.6958692851723007,0.0
80.165294,71,67.469276,71.0,45.97075736675195,20.976753638907503,25.183274355831543,2.6999999999999993,-3.6599999999999997,-8.857009572982788,-33.9888459056616,-12.099032304731246,-2.956420902512005,-2.9691057282325146,-17.906202652974198,-3.228873857798989,0.40011055323268924,0.5681569855904187,0.0
77.381061,72,70.29673,72.0,38.953090987182776,22.686721063647763,24.57617919367885,2.999999999999999,-2.6999999999999997,-8.407579455375672,-36.323477268219,-11.911322668901137,-3.137173917698548,-1.6806971674065327,-17.02284322485081,-2.6518368696884846,0.48578906577493125,0.699536254715901,0.0
66.903997,59,72.695077,59.0,37.18504537145906,18.378911888287494,19.774249638679468,2.5499999999999994,-2.1399999999999997,-7.45354796409607,-25.09042974114419,-10.102871356867427,-2.5795343022175876,-4.453953656097562,-15.407621939288958,-2.7562509319779127,0.22892854331794865,0.2701356811151794,0.0
77.136873,61,75.045517,61.0,53.18116505898013,13.847177978928295,21.55080743650214,3.7499999999999987,-3.9399999999999995,-7.166827511787412,-31.16354874372483,-9.721298569820982,-2.70609021518323,-4.661685996202968,-14.598733155118019,-2.234092903504289,0.48103790177176886,0.586866240161558,0.0
93.180252,58,77.496305,58.0,63.708396252936815,18.635157274465104,18.638107518843753,3.149999999999999,-2.68,-7.609051795005798,-22.96377038955689,-9.644626399608486,-3.533221737609811,-4.039665596372407,-15.838592439998726,-2.6424808541751283,0.08894994435682534,0.10318193545391738,0.0
62.815282,62,79.936604,62.0,44.25618006860031,17.445470181605472,20.71483272229284,2.6999999999999993,-3.2599999999999993,-7.735879874229432,-32.71469585895539,-10.61326623115845,-2.2218361596234453,-5.410666167165103,-19.811502829618508,-2.533354116029629,0.12257560195976927,0.1519937464301139,0.0
168.350151,100,84.10415,100.0,123.42041598381729,36.59992402435399,31.567620527475018,4.950000000000001,-4.37,-12.316321635246277,-45.80313988924024,-16.81711907414606,-5.54861559414677,-11.755924137618578,-28.133303242156742,-3.4433861161392714,0.19108453058657637,0.38216906117315275,0.0
40.358162,73,87.003502,73.0,14.42168344722523,19.984370433742395,24.514558936537583,2.3999999999999995,-2.34,-9.975198984146118,-33.350849422812466,-12.444392446136451,-3.3836212877486163,-8.235279075846702,-20.806030446560285,-3.427079651596711,0.28844724528358084,0.421132978114028,0.0
103.144265,70,89.850389,70.0,70.88457926876757,25.814588446285633,21.82401773873928,3.149999999999999,-4.4,-8.761425285339355,-41.28117655515671,-11.405570076145674,-3.1659491173095633,-7.991802367482088,-8.86621481566396,-2.656781976513478,0.3129258508375817,0.4380961911726144,0.0
-49.066756,68,92.643764,68.0,-48.63609632537943,18.07613740103673,22.57292538859353,0.9,-3.4299999999999997,-9.01749571323395,-30.7571955114603,-11.863282025428129,-3.479498145159514,-5.23433085913791,-43.10373815812564,-3.094181632257426,-0.29160080816466627,-0.3965770991039462,0.0
-3.84329,84,96.187082,84.0,-12.911036875577372,28.153261114575905,29.425073109080945,1.4999999999999998,-5.740000000000002,-10.581088833808899,-37.473438405990606,-14.283462039394376,-4.584171851217431,-5.182701612801479,-52.33090456213655,-3.834820335002748,0.1549861688617988,0.260376763687822,0.0
102.623245,72,99.235616,72.0,75.05320840005847,24.779807966867253,23.995816552773775,3.5999999999999988,-3.2899999999999996,-8.787940015792845,-31.842742240428922,-11.974661211479946,-4.688886013898629,-7.639666415789582,-24.822586809612766,-3.7591047480157727,0.4742989597646461,0.6829905020610904,0.0
15.123958,47,101.108438,47.0,-12.800517738441519,14.78286809204414,14.857942922196047,0.3,-1.98,-5.616354289054869,-21.925435185432445,-8.205078400685869,-1.3651124404965287,-0.7057576605042734,-6.964713402712803,-2.25388399619347,0.05543700434423617,0.052110784083582,0.0
-21.607869,48,103.035633,48.0,-24.063818914485985,14.127767298502368,14.69177580669305,0.0,-2.4499999999999997,-5.83104248046875,-22.24062317609786,-8.304621904056694,-2.402404930792692,-2.447481403860544,-28.510823210101616,-2.1765963712157936,-0.3774876085640513,-0.3623881042214892,0.0
124.586151,101,107.386215,101.0,51.927365284509335,35.249876536938324,36.90355053500019,3.449999999999999,-5.950000000000002,-11.385182967185974,-44.63523353934289,-17.550371442972274,-3.948792892920522,-4.033389245768176,-11.943202484041132,-4.498469044158611,0.3194903419871876,0.645370490814119,0.0
120.64618,79,110.684236,79.0,67.42541503874247,25.957885110422623,28.279476341652295,5.250000000000002,-4.029999999999999,-9.50878135204315,-33.995077297091505,-12.966055066897658,-3.037583244935709,-5.770449003942929,-12.544694711794929,-3.4139557852705185,0.3360383967462001,0.5309406668589962,0.0
96.731318,63,113.445187,63.0,55.16988478868249,18.994905852664765,22.5406560527131,4.800000000000001,-3.6499999999999995,-8.032754106521608,-23.322349041700363,-10.173726020949294,-3.2573716585348604,-5.281772955595168,-10.554852165687638,-3.5013031822872467,0.5272244880412787,0.6643028549320112,0.0
